method,method_id,alpha,mean_profit,q05_profit,lower_tail_mean,loss_probability,minimum_profit,profit_std,unique_crop_count,top1_area_share,top3_area_share,gini_simpson,constraint_violations
Main,Q2-M1,0.5,43702807.08796737,42160765.33626996,41761384.53609896,0.0,41283878.73447469,977178.2657043355,38,0.14810451916898695,0.30606125508674237,0.935154309324097,0
Baseline,Q2-B1,0.5,68971922.82293294,64100025.97372572,63177995.236537896,0.0,61924174.36154216,3158945.104345806,24,0.1752213950719826,0.44407512476359756,0.8992621220332766,0
Main,Q2-M1,0.0,22184441.259686876,21579675.648331236,21389697.973621987,0.0,21220661.994987912,397717.4840957059,38,0.14810451916898695,0.30606125508674237,0.935154309324097,0
Baseline,Q2-B1,0.0,25784546.493063074,24894897.677639827,24684627.21162314,0.0,24352230.116122566,487445.53507671604,24,0.1752213950719826,0.44407512476359756,0.8992621220332766,0
