method,method_id,alpha,mean_profit,q05_profit,lower_tail_mean,loss_probability,minimum_profit,profit_std,unique_crop_count,top1_area_share,top3_area_share,gini_simpson,constraint_violations
Main,Q2-M1,0.5,68971922.82293294,64100025.973725736,63177995.23653789,0.0,61924174.36154214,3158945.104345806,24,0.1752213950719826,0.44407512476359756,0.8992621220332766,0
Baseline,Q2-B1,0.5,68915134.43960667,64138688.34846697,63102550.3847387,0.0,61846281.012956694,3145160.9332656697,24,0.16028153472819298,0.4209519367341314,0.9105850968308083,0
Main,Q2-M1,0.0,25784546.493063074,24894897.677639827,24684627.21162314,0.0,24352230.116122566,487445.53507671604,24,0.1752213950719826,0.44407512476359756,0.8992621220332766,0
Baseline,Q2-B1,0.0,25247135.829561587,24265242.477386482,24052006.11546447,0.0,23753244.342932682,558990.2093388484,24,0.16028153472819298,0.4209519367341314,0.9105850968308083,0
