销售模式,配置,累计收益(元),MIP Gap(%),作物数,H1(%),H3(%),违反数
半价销售模式,share0_k3,63432082.98100815,0.8636785601124554,24,16.52472123473465,44.88268510993991,0
半价销售模式,share10_k3,63510227.938816465,0.7394901403221419,24,16.028153472819298,42.09519367341314,0
滞销模式,share0_k3,40417243.26956025,2.125639367964373,41,16.85973561925281,42.46697231152749,0
滞销模式,share10_k3,40123862.13930662,2.8690165587829686,41,17.4048355230404,41.867836723143114,0
