strength,alpha,q3_mean_profit,q3_q05_profit,q3_lower_tail_mean,q3_loss_probability,q3_minimum_profit,q3_profit_std,q2_mean_profit,q2_q05_profit,q2_lower_tail_mean,q2_loss_probability,q2_minimum_profit,q2_profit_std,paired_mean_difference,paired_lower_tail_difference,overlap_with_q2,q3_constraint_violations
medium,0.5,68870310.31387357,61257566.73038305,60140249.932806335,0.0,57323312.19310862,4511745.508960249,68748943.00287642,61112462.51888184,60099274.32200923,0.0,57365495.56522279,4484070.374199571,121367.31099716912,-70419.85687452927,0.321334791397405,0
medium,0.0,26254045.1058144,24254773.469573293,23714904.65541955,0.0,22669728.64477781,1185059.1966409252,25629946.755275097,23810685.04835583,23288560.41410149,0.0,22333310.910699487,1091051.3921304678,624098.3505393018,294725.0159537926,0.321334791397405,0
