method,alpha,mean_profit,q05_profit,lower_tail_mean,minimum_profit,profit_std,loss_probability,constraint_violations
Main,0.5,68971922.82293294,64100025.973725736,63177995.23653789,61924174.36154214,3158945.104345806,0.0,0
Baseline,0.5,68915134.43960667,64138688.34846697,63102550.3847387,61846281.012956694,3145160.9332656697,0.0,0
Main,0.0,25784546.493063074,24894897.677639827,24684627.21162314,24352230.116122566,487445.53507671604,0.0,0
Baseline,0.0,25247135.829561587,24265242.477386482,24052006.11546447,23753244.342932682,558990.2093388484,0.0,0
