强度,最小特征值,最大相关误差,需求裁剪比例
weak,0.8956391622461259,0.013030862686148656,0.015749128919860626
medium,0.7564913785742947,0.030010009156315937,0.03761324041811847
strong,0.6173435949024628,0.03533667116505873,0.06029616724738676
