left,right,left_expected_profit,right_expected_profit,relative_profit_difference,crop_area_vector_similarity
weak,medium,68881921.89396192,68840132.01055904,0.0006066886964509514,0.9663397325943699
weak,strong,68881921.89396192,68754024.61372493,0.001856761204106306,0.9554435899581327
medium,strong,68840132.01055904,68754024.61372493,0.0012508313729104657,0.9472572055375217
