strength,coefficient,mip_gap,execution_time_seconds,overlap_with_q2,overlap_with_medium,clipping_ratio,unique_crop_count,top1_area_share,top3_area_share,gini_simpson,constraint_violations
weak,0.15,0.006428349138824154,8.40224039900022,0.3857105186055005,0.362213475950388,0.0,24,0.16983486510864518,0.4366040080118806,0.900141400115489,0
medium,0.35,0.0076800348911269314,8.477404223000121,0.32133479139740506,1.0,0.0,24,0.1708208485020956,0.44032666072312676,0.899350788845338,0
strong,0.55,0.009014696415243896,5.695458947999214,0.27487150218124085,0.24875866953219752,0.0,25,0.1686489481858065,0.44910125133795786,0.8971938910301918,0
