strength,alpha,q3_mean_profit,q3_q05_profit,q3_lower_tail_mean,q3_loss_probability,q3_minimum_profit,q3_profit_std,q2_mean_profit,q2_q05_profit,q2_lower_tail_mean,q2_loss_probability,q2_minimum_profit,q2_profit_std,paired_mean_difference,paired_lower_tail_difference,overlap_with_q2,q3_constraint_violations
weak,0.5,69077697.66576456,63321997.98566278,62211472.763007306,0.0,60578004.12625653,3598591.1857053353,68913820.20862319,63247983.61545481,62094836.4275416,0.0,60484546.339557424,3592068.115320713,163877.45714139016,-28641.574067973346,0.3857105186055005,0
weak,0.0,26356239.11459657,24942316.22652602,24405599.383235216,0.0,23936513.241377003,880258.9999513932,25666379.84303235,24324938.539918132,23909007.683100328,0.0,23394398.254435048,822255.1398135824,689859.2715642225,388634.28346341214,0.3857105186055005,0
medium,0.5,68840132.01055904,61436473.62323593,60160610.283159494,0.0,57338878.88081405,4514497.371504561,68718753.147054,61364829.01605366,60091699.11071043,0.0,57380788.42969084,4486533.8532509655,121378.86350502606,-70882.01488409043,0.32133479139740506,0
medium,0.0,26241577.411242627,24190797.815712906,23667682.33117559,0.0,22787629.367222864,1178890.3452343326,25617431.361016706,23747060.20438484,23230282.0261527,0.0,22450444.259081554,1084306.1632706164,624146.0502259225,294841.3727921549,0.32133479139740506,0
strong,0.5,68617835.12568353,59758820.24116475,58248774.303551,0.0,54961605.00828984,5358509.102727844,68580505.93951292,59771415.82021979,58297651.8121474,0.0,55158479.09434121,5304186.332580154,37329.18617062408,-183023.5737674795,0.27487150218124085,0
strong,0.0,25866741.660885405,23487965.327848595,22755238.2659022,0.0,21620515.486016132,1417770.6320835648,25577657.195850812,23495241.162148178,22709528.866588555,0.0,21732777.66390852,1280515.8060115585,289084.4650345979,-134119.37134684436,0.27487150218124085,0
