alpha,left,right,overlap
0.0,weak,medium,0.5487875385796767
0.0,medium,strong,0.608192939921889
0.0,weak,strong,0.5992439172657279
0.5,weak,medium,0.5995986252194027
0.5,medium,strong,0.6710483275119878
0.5,weak,strong,0.6482035371486905
