beta_cny_per_mu,status,real_profit_cny,bean_area_share,unique_crop_count,constraint_violations
0,success,63626827.4058762,0.3046006644661265,24,0
100,success,63530009.50113636,0.3024864857386755,24,0
300,success,63530640.637260765,0.31758634524159657,24,0
500,success,63485110.3271173,0.3553540586952452,24,0
800,success,63235204.983115874,0.370910095923623,23,0
