alpha,config,min_share,max_crops,cumulative_profit,violations,unique_crop_count,top1_area_share,top3_area_share,gini_simpson,success,status,message,objective_minimized,mip_gap,mip_node_count,mip_rel_gap_target,variables,area_variables,constraints,execution_time_seconds
0.0,share0_k3,0.0,3,40417243.26956025,0,41,0.16859735619252808,0.4246697231152749,0.9125507068386863,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-40417243.26956026,0.02125639367964373,1060,0.03,22358,7434,20107,172.14202160999957
0.0,share10_k3,0.1,3,40123862.13930662,0,41,0.174048355230404,0.41867836723143115,0.9132212931473198,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-40123862.13930663,0.028690165587829684,52,0.03,22358,7434,27541,99.99002754399953
0.5,share0_k3,0.0,3,63432082.98100815,0,24,0.1652472123473465,0.44882685109939907,0.9056758153272606,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-63432082.98100814,0.008636785601124554,1,0.01,22358,7434,20107,2.856170098999428
0.5,share10_k3,0.1,3,63510227.938816465,0,24,0.16028153472819298,0.4209519367341314,0.9105850968308083,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-63510227.938816465,0.007394901403221419,1,0.01,22358,7434,27541,13.27335522300018
