alpha,config,min_share,max_crops,cumulative_profit,violations,unique_crop_count,top1_area_share,top3_area_share,gini_simpson,success,status,message,objective_minimized,mip_gap,mip_node_count,variables,area_variables,constraints,execution_time_seconds
0.0,share0_k3,0.0,3,9931192.929358255,15,41,0.198401708082523,0.5371256832207596,0.8575170011928974,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-2290649.1106824325,0.004046605404514794,432,22358,7434,20053,58.20774317199994
0.0,share10_k3,0.1,3,9630410.554231212,16,41,0.2225450610113285,0.5288128158540095,0.8597958667952048,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),-2254991.1472628405,0.03728331795347929,602,22358,7434,27487,60.782689796
0.5,share0_k3,0.0,3,57976098.37950396,0,29,0.41828935357099856,0.795333412696705,0.7184780580091907,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-54309601.310922295,0.0016582343771756763,1,22358,7434,20053,4.96744015999991
0.5,share10_k3,0.1,3,57926890.07706327,0,25,0.4312083634127182,0.8347463375334272,0.6931607356658194,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),-54240943.73206499,0.0026647494013023673,1,22358,7434,27487,12.621565280000027
